PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Banaev, EV; Erst, AA; Khramova, EP; Tomoshevich, MA; Shaldaeva, TM; Kotsupiy, OV				Banaev, Evgeny V.; Erst, Anna A.; Khramova, Elena P.; Tomoshevich, Maria A.; Shaldaeva, Tatyana M.; Kotsupiy, Olga V.			Comparative analyses of secondary metabolites in microshoot culture, callus culture, and native plants of <i>Atraphaxis</i> L. (Polygonaceae)	PLANT CELL TISSUE AND ORGAN CULTURE																															0167-6857	1573-5044				FEB	2025	160	2							24	10.1007/s11240-025-02970-2	http://dx.doi.org/10.1007/s11240-025-02970-2													WOS:001401546800004
J	Thanigaimalai, M; Nainangu, P; Panda, SP; Shaik, MR; Hussain, SA; Antonyraj, APM; Guru, A				Thanigaimalai, Murugan; Nainangu, Prasannabalaji; Panda, Siva Prasad; Shaik, Mohammed Rafi; Hussain, Shaik Althaf; Antonyraj, Anahas Perianaika Matharasi; Guru, Ajay			The extracts of <i>Carica papaya</i> (Linn.): Phytochemical studies, anti- infective, antioxidant, and cytotoxic properties against cervical carcinoma	SOUTH AFRICAN JOURNAL OF BOTANY																															0254-6299	1727-9321				FEB	2025	177						604	616		10.1016/j.sajb.2024.11.009	http://dx.doi.org/10.1016/j.sajb.2024.11.009													WOS:001400706100001
J	Liu, Y; Yang, ZJ; Na, J; Chen, XY; Wang, ZY; Zheng, LS; Fan, YB				Liu, Yu; Yang, Zhijie; Na, Jing; Chen, Xinyuan; Wang, Ziyi; Zheng, Lisha; Fan, Yubo			<i>In vitro</i> stretch modulates mitochondrial dynamics and energy metabolism to induce smooth muscle differentiation in mesenchymal stem cells	FASEB JOURNAL																															0892-6638	1530-6860				JAN 31	2025	39	2							e70354	10.1096/fj.202402944R	http://dx.doi.org/10.1096/fj.202402944R								39840656					WOS:001401254200001
J	Chiang, SY; Wang, YW; Su, PY; Chang, YY; Yen, HH; Chang, RF				Chiang, Shang-Yu; Wang, You-Wei; Su, Pei-Yuan; Chang, Yuan-Yen; Yen, Hsu-Heng; Chang, Ruey-Feng			PBCS-ConvNeXt: Convolutional Network-Based Automatic Diagnosis of Non-alcoholic Fatty Liver in Abdominal Ultrasound Images	JOURNAL OF IMAGING INFORMATICS IN MEDICINE																															2948-2925	2948-2933				2025 JAN 22	2025										10.1007/s10278-025-01394-w	http://dx.doi.org/10.1007/s10278-025-01394-w		JAN 2025						39841370					WOS:001401957000001
J	Im, GI				Im, Gun-Il			Bone Marrow Aspiration Concentrate in the Treatment of Osteoarthritis: A Review of its Current Clinical Application	TISSUE ENGINEERING AND REGENERATIVE MEDICINE																															1738-2696	2212-5469				2025 JAN 22	2025										10.1007/s13770-024-00693-7	http://dx.doi.org/10.1007/s13770-024-00693-7		JAN 2025						39841351					WOS:001401849800001
J	Bu, ZH; Jing, JX; Liu, W; Fan, Z; Huang, JC; Zhou, Z; Hu, JH; An, JX; Hong, JC; Yu, JN; Tang, DL; Sun, M; Du, JZ; Wu, P				Bu, Ziheng; Jing, Jianxing; Liu, Wei; Fan, Zhen; Huang, Junchao; Zhou, Zheng; Hu, Jianhai; An, Jinxi; Hong, Jiachang; Yu, Jianing; Tang, Daolin; Sun, Min; Du, Jianzhong; Wu, Peng			Treatment of Denervated Muscle Atrophy by Injectable Dual-Responsive Hydrogels Loaded with Extracellular Vesicles	ADVANCED SCIENCE																																2198-3844				2025 JAN 21	2025										10.1002/advs.202412248	http://dx.doi.org/10.1002/advs.202412248		JAN 2025						39836492					WOS:001400921000001
J	Dong, CT; He, ZQ; Liao, WB; Jiang, QH; Song, C; Song, QL; Su, XZ; Xiong, YH; Wang, YH; Meng, LC; Yang, SX				Dong, Caitao; He, Ziqi; Liao, Wenbiao; Jiang, Qinhong; Song, Chao; Song, Qianlin; Su, Xiaozhe; Xiong, Yunhe; Wang, Yunhan; Meng, Lingchao; Yang, Sixing			CHAC1 Mediates Endoplasmic Reticulum Stress-Dependent Ferroptosis in Calcium Oxalate Kidney Stone Formation	ADVANCED SCIENCE																																2198-3844				2025 JAN 21	2025										10.1002/advs.202403992	http://dx.doi.org/10.1002/advs.202403992		JAN 2025						39836526					WOS:001400917500001
J	Ishahak, M; Han, RH; Annamalai, D; Woodiwiss, T; Mccornack, C; Cleary, RT; Desouza, PA; Qu, X; Dahiya, S; Kim, AH; Millman, JR				Ishahak, Matthew; Han, Rowland H.; Annamalai, Devi; Woodiwiss, Timothy; Mccornack, Colin; Cleary, Ryan T.; Desouza, Patrick A.; Qu, Xuan; Dahiya, Sonika; Kim, Albert H.; Millman, Jeffrey R.			Genetically Engineered Brain Organoids Recapitulate Spatial and Developmental States of Glioblastoma Progression	ADVANCED SCIENCE																																2198-3844				2025 JAN 21	2025										10.1002/advs.202410110	http://dx.doi.org/10.1002/advs.202410110		JAN 2025						39836549					WOS:001400920800001
J	Enache, A; Carty, SA; Babushok, DV				Enache, Aura; Carty, Shannon A.; Babushok, Daria V.			Origins of T-cell-mediated autoimmunity in acquired aplastic anaemia	BRITISH JOURNAL OF HAEMATOLOGY																															0007-1048	1365-2141				2025 JAN 21	2025										10.1111/bjh.19993	http://dx.doi.org/10.1111/bjh.19993		JAN 2025						39836983					WOS:001400919700001
J	Jiang, H; Xi, Y; Jiang, QF; Dai, W; Qin, XR; Zhang, J; Jiang, ZW; Yang, GL; Chen, QM				Jiang, Hui; Xi, Yue; Jiang, Qifeng; Dai, Wei; Qin, Xiaoru; Zhang, Jing; Jiang, Zhiwei; Yang, Guoli; Chen, Qianming			LRP5 Down-Regulation Exacerbates Inflammation and Alveolar Bone Loss in Periodontitis by Inhibiting PI3K/c-FOS Signalling	JOURNAL OF CLINICAL PERIODONTOLOGY																															0303-6979	1600-051X				2025 JAN 21	2025										10.1111/jcpe.14112	http://dx.doi.org/10.1111/jcpe.14112		JAN 2025						39837316					WOS:001400917200001
J	Lai, YJ; Reina-Gonzalez, P; Maor, G; Miller, GW; Sarkar, S				Lai, Yunjia; Reina-Gonzalez, Pablo; Maor, Gali; Miller, Gary W.; Sarkar, Souvarish			Biotin mitigates the development of manganese-induced, Parkinson's disease-related neurotoxicity in <i>Drosophila</i> and human neurons	SCIENCE SIGNALING																															1945-0877	1937-9145				JAN 21	2025	18	870							eadn9868	10.1126/scisignal.adn9868	http://dx.doi.org/10.1126/scisignal.adn9868													WOS:001400915900001
J	Mistry, P; Potgieter, JJC; Pepper, MS; Durandt, C				Mistry, Priyal; Potgieter, Joachim J. C.; Pepper, Michael S.; Durandt, Chrisna			Phenotypic Characterisation of Bone Marrow-Derived Haematopoietic Stem/Progenitor Cells from HIV-Infected Individuals	STEM CELL REVIEWS AND REPORTS																															2629-3269	2629-3277				2025 JAN 21	2025										10.1007/s12015-024-10834-z	http://dx.doi.org/10.1007/s12015-024-10834-z		JAN 2025						39836357					WOS:001402136100001
J	Mahmod, AI; Govindaraju, K; Lokanathan, Y; Said, NABM; Ibrahim, B				Mahmod, Asma Ismail; Govindaraju, Kayatri; Lokanathan, Yogeswaran; Said, Nur Akmarina B. M.; Ibrahim, Baharudin			Exploring the Potential of Stem Cells in Modulating Gut Microbiota and Managing Hypertension	STEM CELLS AND DEVELOPMENT																															1547-3287	1557-8534				2025 JAN 21	2025										10.1089/scd.2024.0195	http://dx.doi.org/10.1089/scd.2024.0195		JAN 2025						39836384					WOS:001400936500001
J	Shahbazi, AS; Irandoost, F; Mahdavian, R; Shojaeilangari, S; Allahvardi, A; Naderi-Manesh, H				Shahbazi, Arash Shahbazpoor; Irandoost, Farzin; Mahdavian, Reza; Shojaeilangari, Seyedehsamaneh; Allahvardi, Abdollah; Naderi-Manesh, Hossein			A multi-stage weakly supervised design for spheroid segmentation to explore mesenchymal stem cell differentiation dynamics	BMC BIOINFORMATICS																															1471-2105					JAN 17	2025	26	1							20	10.1186/s12859-024-06031-x	http://dx.doi.org/10.1186/s12859-024-06031-x								39825265					WOS:001401032800002
J	Su, S; Bao, WL; Liu, YF; Shi, PA; Manwani, D; Murakhovskaya, I; Campbell-Lee, S; Lobo, CA; Mendelson, A; An, XL; Zhong, H; Yi, WL; Yazdanbakhsh, K				Su, Shan; Bao, Weili; Liu, Yunfeng; Shi, Patricia A.; Manwani, Deepa; Murakhovskaya, Irina; Campbell-Lee, Sally; Lobo, Cheryl A.; Mendelson, Avital; An, Xiuli; Zhong, Hui; Yi, Woelsung; Yazdanbakhsh, Karina			IFN-I promotes T-cell-independent immunity and RBC autoantibodies via modulation of B-1 cell subsets in murine SCD	BLOOD																		Campbell-Lee, Sally/0000-0003-4157-2120													0006-4971	1528-0020				JAN 16	2025	145	3					334	347		10.1182/blood.2024025175	http://dx.doi.org/10.1182/blood.2024025175								39656114					WOS:001400941600001
J	Gharehchelou, B; Mehrarya, M; Sefidbakht, Y; Uskokovic, V; Suri, F; Arjmand, S; Maghami, F; Siadat, SOR; Karima, S; Vosough, M				Gharehchelou, Behnaz; Mehrarya, Mehrnoush; Sefidbakht, Yahya; Uskokovic, Vuk; Suri, Fatemeh; Arjmand, Sareh; Maghami, Farnaz; Siadat, Seyed Omid Ranaei; Karima, Saeed; Vosough, Massoud			Mesenchymal stem cell-derived exosome and liposome hybrids as transfection nanocarriers of Cas9-GFP plasmid to HEK293T cells	PLOS ONE																															1932-6203					JAN 13	2025	20	1							e0315168	10.1371/journal.pone.0315168	http://dx.doi.org/10.1371/journal.pone.0315168								39804902					WOS:001398365100039
J	Song, JX; Huang, S; Linghu, X; Wu, HP; Wen, ZY; Li, X; Huang, QP; Xu, WK; Wa, Q				Song, Jiaxiang; Huang, Shuai; Linghu, Xitao; Wu, Hengpeng; Wen, Zhenyu; Li, Xiang; Huang, Qiping; Xu, Weikang; Wa, Qingde			3D printing of different fibres towards HA/PCL scaffolding induces macrophage polarization and promotes osteogenic differentiation of BMSCs	PLOS ONE																															1932-6203					JAN 13	2025	20	1							e0314150	10.1371/journal.pone.0314150	http://dx.doi.org/10.1371/journal.pone.0314150								39804888					WOS:001398365100027
J	Woelk, J; Narasimhan, H; Pfeifhofer-Obermair, C; Schraml, BU; Hermann-Kleiter, N				Woelk, Johannes; Narasimhan, Hamsa; Pfeifhofer-Obermair, Christa; Schraml, Barbara U.; Hermann-Kleiter, Natascha			NR2F6 regulates stem cell hematopoiesis and myelopoiesis in mice	FRONTIERS IN IMMUNOLOGY																															1664-3224					JAN 7	2025	15								1404805	10.3389/fimmu.2024.1404805	http://dx.doi.org/10.3389/fimmu.2024.1404805								39840064					WOS:001400566600001
J	Liu, JL; An, YX; Sun, R; Zhang, XM; Guo, SJ; Gao, XJ; Zhao, MF				Liu, Jile; An, Yuxin; Sun, Rui; Zhang, Xiaomei; Guo, Shujing; Gao, Xuejin; Zhao, Mingfeng			The efficacy and safety of CD7 chimeric antigen receptor T-cell therapy for hematologic malignancies: a systematic review and meta-analysis	FRONTIERS IN ONCOLOGY																															2234-943X					JAN 7	2025	14								1478888	10.3389/fonc.2024.1478888	http://dx.doi.org/10.3389/fonc.2024.1478888								39845313					WOS:001401784100001
J	Sun, PY; Wang, SH; Hu, L; Huang, YH; Wang, YP				Sun, Peiyu; Wang, Shunhe; Hu, Ling; Huang, Yinhu; Wang, Yaping			Ginsenoside Rg1 Promotes the Survival, Proliferation, and Differentiation of Senescent Neural Stem Cells Induced by D-galactose	ACTAS ESPANOLAS DE PSIQUIATRIA																															1139-9287	1578-2735				JAN-FEB	2025	53	1					49	61		10.62641/aep.v53i1.1812	http://dx.doi.org/10.62641/aep.v53i1.1812								39801411					WOS:001401001300006
J	Ao, Y; Jiang, DM				Ao, Yu; Jiang, Dianming			Polydopamine-Induced BMP7-Poly (Lactic-Co-Glycolic Acid)-Nanoparticle Coating Facilitates Osteogenesis in Porous Tantalum Scaffolds	JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A																															1549-3296	1552-4965				JAN	2025	113	1							e37835	10.1002/jbm.a.37835	http://dx.doi.org/10.1002/jbm.a.37835								39835772					WOS:001400961900001
J	Beeching, SC; Ruland, HE; Sparks, KM				Beeching, Simon C.; Ruland, Hanna E.; Sparks, Katelyn M.			Effects of melatonin on planaria head regeneration are dependent on both timing and duration of exposure	PHYSIOLOGICAL REPORTS																															2051-817X					JAN	2025	13	2							e70151	10.14814/phy2.70151	http://dx.doi.org/10.14814/phy2.70151								39838534					WOS:001401029100001
J	Saito-Diaz, K; Dietrich, P; Saini, T; Rashid, MM; Wu, HF; Ishan, M; Sun, X; Bedillion, S; Patel, AJ; Prudden, AR; Wzientek, CG; Knight, TN; Chen, YW; Boons, GJ; Chen, SB; Studer, L; Tiemeyer, M; Xu, BQ; Dragatsis, I; Liu, HX; Zeltner, N				Saito-Diaz, Kenyi; Dietrich, Paula; Saini, Tripti; Rashid, Md Mamunur; Wu, Hsueh-Fu; Ishan, Mohamed; Sun, Xin; Bedillion, Sydney; Patel, Archie Jayesh; Prudden, Anthony Robert; Wzientek, Camryn Gale; Knight, Trinity Nora; Chen, Ya-Wen; Boons, Geert-Jan; Chen, Shuibing; Studer, Lorenz; Tiemeyer, Michael; Xu, Bingqian; Dragatsis, Ioannis; Liu, Hong-Xiang; Zeltner, Nadja			Genipin rescues developmental and degenerative defects in familial dysautonomia models and accelerates axon regeneration	SCIENCE TRANSLATIONAL MEDICINE																	; Boons, Geert-Jan/J-3211-2016	Saini, Tripti/0009-0008-7251-2407; Prudden, Anthony/0000-0003-4214-7310; Boons, Geert-Jan/0000-0003-3111-5954													1946-6234	1946-6242				NOV 20	2024	16	774							eadq2418	10.1126/scitranslmed.adq2418	http://dx.doi.org/10.1126/scitranslmed.adq2418								39565876					WOS:001401271300005
J	Mahajan, P; Khanna, V; Singh, K; Alqarni, A; Saeed, M				Mahajan, Priyanka; Khanna, Virat; Singh, Kamaljit; Alqarni, Abdullah; Saeed, Mohd			Review-Graphene Nanocomposites in Dentistry: A State-of-the-Art Review	ECS JOURNAL OF SOLID STATE SCIENCE AND TECHNOLOGY																															2162-8769	2162-8777				NOV 1	2024	13	11							111003	10.1149/2162-8777/ad949e	http://dx.doi.org/10.1149/2162-8777/ad949e													WOS:001372474400001
J	Wang, P; Jin, L; Zhang, M; Wu, YS; Duan, ZL; Guo, YQ; Wang, CM; Guo, YQ; Chen, WW; Liao, ZY; Wang, YQ; Lai, R; Lee, LP; Qin, JH				Wang, Peng; Jin, Lin; Zhang, Min; Wu, Yunsong; Duan, Zilei; Guo, Yaqiong; Wang, Chaoming; Guo, Yingqi; Chen, Wenwen; Liao, Zhiyi; Wang, Yaqing; Lai, Ren; Lee, Luke P.; Qin, Jianhua			Blood-brain barrier injury and neuroinflammation induced by SARS-CoV-2 in a lung-brain microphysiological system	NATURE BIOMEDICAL ENGINEERING																	Wang, Peng/KPA-8764-2024; qin, jh/IWM-7624-2023; Lee, Luke/AAN-6695-2021; Yaqiong, Guo/N-4927-2015; wang, yaqing/HSF-4438-2023; Wang, Chaoming/A-2203-2012; zhang, min/IYI-9869-2023	Jin, Lin/0000-0001-6273-9140													2157-846X					AUG	2024	8	8					1053	+		10.1038/s41551-023-01054-w	http://dx.doi.org/10.1038/s41551-023-01054-w								37349391					WOS:001350745200012
J	Jonoubi, P; Limanjoubi, SLK				Jonoubi, Parissa; Limanjoubi, Seyedeh Lida Karimi			Impacts of heavy metal and nutrient accumulation on the vegetative, anatomical and reproductive characteristics and phytoremediation efficiency of<i> Azolla</i><i> Filiculoides</i><i> L</i>	BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY																															0791-7945	2009-003X					2024	124B	2-3								10.1353/bae.2024.a940789	http://dx.doi.org/10.1353/bae.2024.a940789													WOS:001397938900002
J	Huang, JP; Yang, XZ				Huang, Jiapeng; Yang, Xiaozhu			Evaluation and improvement of the vertical accuracy of the global open DEM under forest environment	GEOCARTO INTERNATIONAL																															1010-6049	1752-0762				DEC 31	2025	40	1							2453024	10.1080/10106049.2025.2453024	http://dx.doi.org/10.1080/10106049.2025.2453024													WOS:001400356600001
J	He, XF; Wang, Y; Gao, YT; Wang, XC; Sun, ZX; Zhu, HX; Leong, KW; Xu, B				He, Xiaofu; Wang, Yian; Gao, Yutong; Wang, Xuchen; Sun, Zhixiong; Zhu, Huixiang; Leong, Kam W.; Xu, Bin			CalciumZero: a toolbox for fluorescence calcium imaging on iPSC derived brain organoids	BRAIN INFORMATICS																															2198-4018	2198-4026				DEC	2025	12	1							2	10.1186/s40708-024-00248-5	http://dx.doi.org/10.1186/s40708-024-00248-5								39833639					WOS:001400473800001
J	Shewale, B; Ebrahim, T; Samal, A; Dubois, N				Shewale, Bhavana; Ebrahim, Tasneem; Samal, Arushi; Dubois, Nicole			Molecular Regulation of Cardiomyocyte Maturation	CURRENT CARDIOLOGY REPORTS																															1523-3782	1534-3170				DEC	2025	27	1							32	10.1007/s11886-024-02189-1	http://dx.doi.org/10.1007/s11886-024-02189-1								39836238					WOS:001401222300001
J	Ozdemir-Sanci, T; Piskin, I; Köksal, Y; Cayli, S; Ozbek, NY; Ozguner, HM				Ozdemir-Sanci, Tuba; Piskin, Ilkay; Koksal, Yasin; Cayli, Sevil; Ozbek, Namik Y.; Ozguner, H. Meltem			The dynamic interaction of pediatric ALL cells and MSCs: influencing leukemic cell survival and modulating MSC β-catenin expression	HISTOCHEMISTRY AND CELL BIOLOGY																															0948-6143	1432-119X				DEC	2025	163	1							26	10.1007/s00418-025-02353-w	http://dx.doi.org/10.1007/s00418-025-02353-w								39836255					WOS:001401211600001
J	Zang, MX; Zhang, G; Zhang, Y; Wang, SS; Zhai, XW; Zhao, N; Ge, W; Xie, JW; Shen, W; Cheng, SF				Zang, Ming-Xin; Zhang, Geng; Zhang, Ying; Wang, Sha-Sha; Zhai, Xiang-Wei; Zhao, Na; Ge, Wei; Xie, Jin-Wen; Shen, Wei; Cheng, Shun-Feng			mTORC1 regulates the proliferation of SOX9<SUP>+</SUP> porcine skin-derived stem cells (pSDSCs) by promoting S6K phosphorylation	HISTOCHEMISTRY AND CELL BIOLOGY																															0948-6143	1432-119X				DEC	2025	163	1							25	10.1007/s00418-025-02354-9	http://dx.doi.org/10.1007/s00418-025-02354-9								39833550					WOS:001400461500001
J	Farid, ABA; Eftekhar, Z; Asadi, ZT; Kaydani, GA; Amirrajab, N; Far, MAJ				Farid, Amir Bahador Abbasi; Eftekhar, Zeinab; Asadi, Zari Tahannejad; Kaydani, Gholam Abbas; Amirrajab, Nasrin; Far, Mohammad Ali Jalali			Are rs1042059 and rs11591377 polymorphisms of BMI1 gene related to leukemia?	MOLECULAR BIOLOGY REPORTS																															0301-4851	1573-4978				DEC	2025	52	1							134	10.1007/s11033-025-10246-3	http://dx.doi.org/10.1007/s11033-025-10246-3								39826011					WOS:001400351800001
J	Nair, V; Demitri, C; Thankam, FG				Nair, Vishnu; Demitri, Christian; Thankam, Finosh G.			Competitive signaling and cellular communications in myocardial infarction response	MOLECULAR BIOLOGY REPORTS																															0301-4851	1573-4978				DEC	2025	52	1							129	10.1007/s11033-025-10236-5	http://dx.doi.org/10.1007/s11033-025-10236-5								39820809					WOS:001401182400001
J	Maamary, N; Ogunsanya, IG				Maamary, Nicolas; Ogunsanya, Ibrahim G.			Chloride threshold level determination: Call for test standardization to limit variations in experimental methodology and resolve inherent experimental and modelling detection challenges	CASE STUDIES IN CONSTRUCTION MATERIALS																															2214-5095					JUL	2025	22								e04167	10.1016/j.cscm.2024.e04167	http://dx.doi.org/10.1016/j.cscm.2024.e04167													WOS:001400056500001
J	Carrera, ALC; de Araújo, GS; Brunel, HDS; Malard, PF; de Andrade, RV; Alecrim, MZ; Minto, BW				Carrera, Alefe Luiz Caliani; de Araujo, Gustavo Soares; Brunel, Hilana dos Santos Sena; Malard, Patricia Furtado; de Andrade, Rosangela Vieira; Alecrim, Milena Zorante; Minto, Bruno Watanabe			Epithelial regenerative activity of topic administration of canine adipose-derived mesenchymal stem cells secretome in eye drops format-an<i> in</i><i> vitro</i> study	AME MEDICAL JOURNAL																																2520-0518				JUN 30	2025	10								11	10.21037/amj-23-214	http://dx.doi.org/10.21037/amj-23-214													WOS:001399802000008
J	Liu, CX; Yu, B; Zhang, ZWB; Su, LF; Wang, RQ; Jin, Y; Guo, WM; Li, RM; Zeng, Z; Mei, P; Chang, J; Xia, LG; Yang, C; Fang, B				Liu, Chengxiao; Yu, Bin; Zhang, Zhaowenbin; Su, Lefeng; Wang, Ruiqing; Jin, Yu; Guo, Weiming; Li, Ruomei; Zeng, Zhen; Mei, Peng; Chang, Jiang; Xia, Lunguo; Yang, Chen; Fang, Bing			LIPUS activated piezoelectric pPLLA/SrSiO<sub>3</sub> composite scaffold promotes osteochondral regeneration through P2RX1 mediated Ca<SUP>2+</SUP> signaling pathway	BIOMATERIALS																															0142-9612	1878-5905				JUN	2025	317								123084	10.1016/j.biomaterials.2025.123084	http://dx.doi.org/10.1016/j.biomaterials.2025.123084								39754966					WOS:001400153800001
J	Li, SJ; Liu, TT; Yu, S; Yu, XM; Yang, HJ; Wang, CD; Zheng, JY				Li, Songjie; Liu, Tiantian; Yu, Shuang; Yu, Xiaomei; Yang, Huijing; Wang, Chengduo; Zheng, Jin You			Anchoring platinum clusters in CoP@CoNi layered double hydroxide to prepare high-performance and stable electrodes for efficient water splitting at high current density	JOURNAL OF COLLOID AND INTERFACE SCIENCE																															0021-9797	1095-7103				APR 15	2025	684		1				717	728		10.1016/j.jcis.2025.01.080	http://dx.doi.org/10.1016/j.jcis.2025.01.080								39818032					WOS:001399577200001
